Zone_export,Zone_import,Transport_international_mode,Unit,Transport_international_distance
THA_EXP01,NLD_IMP01,Sea,[1000km],17.505
THA_EXP01,POL_IMP01,Sea,[1000km],19.078
THA_EXP01,PRT_IMP01,Sea,[1000km],14.823
TZA_EXP01,BGR_IMP01,Sea,[1000km],7.619
TZA_EXP01,DNK_IMP01,Sea,[1000km],13.759
TZA_EXP01,EST_IMP01,Sea,[1000km],14.562
TZA_EXP01,FIN_IMP01,Sea,[1000km],14.579
TZA_EXP01,DEU_IMP01,Sea,[1000km],13.128
TZA_EXP01,IRL_IMP01,Sea,[1000km],12.315
TZA_EXP01,LVA_IMP01,Sea,[1000km],14.409
TZA_EXP01,MLT_IMP01,Sea,[1000km],7.454
TZA_EXP01,ROU_IMP01,Sea,[1000km],7.934
TZA_EXP01,SVN_IMP01,Sea,[1000km],7.928
TZA_EXP01,SWE_IMP01,Sea,[1000km],13.547
TZA_EXP01,NOR_IMP01,Sea,[1000km],13.542
