Country,Energy_type,Unit,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
LUX,Onshore,[MW],135.6996942,143.7782422,153.5277433,162.8564221,172.1851009,181.5137796,190.8424584,200.1711372,209.4998159,218.8284946,228.1571734,237.4858522,246.8145309,256.1432097,268.1875613,280.2319128,292.2762644,304.3206159,316.3649675,328.409319,340.4536706,352.4980221,364.5423737,376.5867252,388.7916681,400.9966111,413.201554,425.4064969,437.6114398,449.8163827,462.0213256,474.2262685,486.4312114,498.6361543
LUX,PV,[MW],123.6889358,132.641934,150,166.2087152,182.4174303,198.6261455,214.8348607,231.043576,247.2522911,263.4610063,279.6697215,295.8784367,312.0871518,328.295867,354.6520141,381.0081612,407.3643082,433.7204553,460.0766024,486.4327494,512.7888965,539.1450436,565.5011907,591.8573377,623.2997588,654.7421799,686.1846009,717.627022,749.0694431,780.5118641,811.9542852,843.3967063,874.8391273,906.2815484
LVA,Onshore,[MW],77.82776577,82.46105069,88.05267633,93.40294797,98.75321962,104.1034913,109.4537629,114.8040346,120.1543062,125.5045778,130.8548494,136.2051211,141.5553927,146.9056644,153.8134542,160.7212441,167.629034,174.5368238,181.4446137,188.3524036,195.2601934,202.1679833,209.0757731,215.983563,222.9834567,229.9833505,236.9832442,243.9831379,250.9830316,257.9829254,264.9828191,271.9827128,278.9826065,285.9825003
LVA,PV,[MW],2.473778716,2.65283868,3,3.324174304,3.648348606,3.972522911,4.296697215,4.620871519,4.945045821,5.269220125,5.59339443,5.917568734,6.241743036,6.56591734,7.093040282,7.620163223,8.147286165,8.674409106,9.201532047,9.728654989,10.25577793,10.78290087,11.31002381,11.83714675,12.46599518,13.0948436,13.72369202,14.35254044,14.98138886,15.61023728,16.2390857,16.86793413,17.49678255,18.12563097
MLT,Onshore,[MW],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MLT,PV,[MW],126.9873074,136.1790523,154,170.6409476,187.2818951,203.9228427,220.5637904,237.204738,253.8456855,270.4866331,287.1275807,303.7685283,320.4094759,337.0504235,364.1094011,391.1683788,418.2273564,445.2863341,472.3453118,499.4042894,526.4632671,553.5222447,580.5812224,607.6402001,639.9210857,672.2019713,704.4828569,736.7637426,769.0446282,801.3255138,833.6063995,865.8872851,898.1681707,930.4490563
NLD,Onshore,[MW],3498.258292,3706.518509,3957.854913,4198.342764,4438.830615,4679.318466,4919.806317,5160.294169,5400.782018,5641.269869,5881.75772,6122.245571,6362.733422,6603.221274,6913.717572,7224.21387,7534.710168,7845.206466,8155.702764,8466.199062,8776.695361,9087.191659,9397.687957,9708.184255,10022.8205,10337.45675,10652.093,10966.72925,11281.3655,11596.00175,11910.638,12225.27425,12539.91049,12854.54674
NLD,PV,[MW],5545.387289,5946.780042,6725,7451.690732,8178.381459,8905.072191,9631.762923,10358.45366,11085.14438,11811.83511,12538.52585,13265.21658,13991.90731,14718.59804,15900.23196,17081.86589,18263.49982,19445.13375,20626.76767,21808.4016,22990.03553,24171.66945,25353.30338,26534.93731,27944.60585,29354.2744,30763.94294,32173.61149,33583.28003,34992.94857,36402.61712,37812.28566,39221.95421,40631.62275
POL,Onshore,[MW],5903.934488,6255.41073,6679.585716,7085.451835,7491.317955,7897.184074,8303.050194,8708.916314,9114.78243,9520.648549,9926.514669,10332.38079,10738.24691,11144.11303,11668.13088,12192.14874,12716.16659,13240.18444,13764.2023,14288.22015,14812.23801,15336.25586,15860.27371,16384.29157,16915.29633,17446.30109,17977.30584,18508.3106,19039.31536,19570.32012,20101.32488,20632.32964,21163.3344,21694.33915
POL,PV,[MW],1071.970777,1149.563428,1300,1440.475532,1580.951063,1721.426595,1861.902126,2002.377658,2142.853189,2283.328721,2423.804253,2564.279785,2704.755316,2845.230847,3073.650789,3302.07073,3530.490671,3758.910613,3987.330554,4215.750495,4444.170436,4672.590378,4901.010319,5129.43026,5401.931243,5674.432225,5946.933208,6219.434191,6491.935173,6764.436156,7036.937138,7309.438121,7581.939103,7854.440086
PRT,Onshore,[MW],5213.462515,5523.833203,5898.400433,6256.80004,6615.199647,6973.599255,7331.998862,7690.398469,8048.798073,8407.19768,8765.597287,9123.996894,9482.396501,9840.796108,10303.52947,10766.26283,11228.99619,11691.72955,12154.4629,12617.19626,13079.92962,13542.66298,14005.39634,14468.1297,14937.03284,15405.93598,15874.83911,16343.74225,16812.64539,17281.54853,17750.45166,18219.3548,18688.25794,19157.16108
PRT,PV,[MW],682.7629257,732.1834758,828,917.472108,1006.944215,1096.416323,1185.888431,1275.360539,1364.832647,1454.304755,1543.776863,1633.248971,1722.721078,1812.193186,1957.679118,2103.16505,2248.650981,2394.136913,2539.622845,2685.108777,2830.594709,2976.080641,3121.566572,3267.052504,3440.614669,3614.176833,3787.738997,3961.301161,4134.863326,4308.42549,4481.987654,4655.549819,4829.111983,5002.674147
ROU,Onshore,[MW],3033.287281,3213.866591,3431.796616,3640.320024,3848.843431,4057.366839,4265.890247,4474.413655,4682.93706,4891.460468,5099.983876,5308.507284,5517.030691,5725.554099,5994.780781,6264.007463,6533.234145,6802.460826,7071.687508,7340.91419,7610.140872,7879.367553,8148.594235,8417.820917,8690.637288,8963.453659,9236.27003,9509.086401,9781.902771,10054.71914,10327.53551,10600.35188,10873.16825,11145.98463
ROU,PV,[MW],1142.885767,1225.61147,1386,1535.768529,1685.537056,1835.305585,1985.074113,2134.842642,2284.611169,2434.379698,2584.148227,2733.916755,2883.685283,3033.453811,3276.98461,3520.515409,3764.046208,4007.577007,4251.107806,4494.638605,4738.169404,4981.700203,5225.231002,5468.761801,5759.289771,6049.817742,6340.345713,6630.873683,6921.401654,7211.929624,7502.457595,7792.985566,8083.513536,8374.041507
SVK,Onshore,[MW],2.993375607,3.171578873,3.386641397,3.592421076,3.798200755,4.003980433,4.209760112,4.415539791,4.621319468,4.827099146,5.032878825,5.238658504,5.444438182,5.650217861,5.915902087,6.181586312,6.447270537,6.712954763,6.978638988,7.244323214,7.510007439,7.775691665,8.04137589,8.307060115,8.576286797,8.845513479,9.114740161,9.383966843,9.653193524,9.922420206,10.19164689,10.46087357,10.73010025,10.99932693
SVK,PV,[MW],389.2078514,417.3799524,472,523.0034239,574.0068474,625.0102713,676.0136951,727.017119,778.0205425,829.0239664,880.0273903,931.0308142,982.0342377,1033.037662,1115.971671,1198.90568,1281.83969,1364.773699,1447.707709,1530.641718,1613.575728,1696.509737,1779.443747,1862.377756,1961.316574,2060.255393,2159.194211,2258.133029,2357.071847,2456.010666,2554.949484,2653.888302,2752.827121,2851.765939
SVN,Onshore,[MW],4.988959344,5.285964788,5.644402329,5.98736846,6.330334591,6.673300722,7.016266853,7.359232984,7.702199113,8.045165244,8.388131375,8.731097506,9.074063637,9.417029768,9.859836811,10.30264385,10.7454509,11.18825794,11.63106498,12.07387202,12.51667907,12.95948611,13.40229315,13.84510019,14.29381133,14.74252247,15.1912336,15.63994474,16.08865587,16.53736701,16.98607815,17.43478928,17.88350042,18.33221156
