Node_import,Zone_demand,Unit,Transport_eu_mode,Transport_eu_distance
POL_PIPE0001,EST_DEM01,[1000km],Pip,0.714898406
POL_PIPE0001,FIN_DEM01,[1000km],Pip,1.361362296
POL_PIPE0001,POL_DEM01,[1000km],Pip,0.272487733
POL_PIPE0001,SVK_DEM01,[1000km],Pip,0.49134753
POL_PIPE0001,SVN_DEM01,[1000km],Pip,0.931248853
POL_PIPE0001,NOR_DEM01,[1000km],Pip,1.447200325
GRC_PIPE0001,FIN_DEM01,[1000km],Pip,2.618355168
GRC_PIPE0001,LVA_DEM01,[1000km],Pip,1.769552858
GRC_PIPE0001,LTU_DEM01,[1000km],Pip,1.60708636
GRC_PIPE0001,ROU_DEM01,[1000km],Pip,0.552131231
GRC_PIPE0001,NOR_DEM01,[1000km],Pip,2.728806333
GRC_PIPE0001,SWE_DEM01,[1000km],Pip,2.50916108
GRC_PIPE0001,BGR_DEM01,[1000km],Pip,0.218044941
GRC_PIPE0001,EST_DEM01,[1000km],Pip,1.969847881
HUN_PIPE0001,GBR_DEM01,[1000km],Pip,1.885048895
HUN_PIPE0001,MLT_DEM01,[1000km],Pip,1.520301427
HUN_PIPE0001,CYP_DEM01,[1000km],Pip,1.707287455
HUN_PIPE0001,GRC_DEM01,[1000km],Pip,1.014970022
GRC_PIPE0001,ESP_DEM01,[1000km],Pip,2.507906889
GRC_PIPE0001,ESP_DEM01,[1000km],Pip,4.050525318
HUN_PIPE0001,PRT_DEM01,[1000km],Pip,2.652312765
HUN_PIPE0001,IRL_DEM01,[1000km],Pip,2.219083354
GRC_PIPE0001,DEU_DEM01,[1000km],Pip,1.662823511
GRC_PIPE0001,LUX_DEM01,[1000km],Pip,1.852563248
GRC_PIPE0001,NLD_DEM01,[1000km],Pip,2.008735167
GRC_PIPE0001,AUT_DEM01,[1000km],Pip,1.216153895
GRC_PIPE0001,GRC_DEM01,[1000km],Pip,0.35528161
GRC_PIPE0001,FRA_DEM01,[1000km],Pip,2.002184399
GRC_PIPE0001,CHE_DEM01,[1000km],Pip,1.585493112
GRC_PIPE0001,BEL_DEM01,[1000km],Pip,1.985115776
GRC_PIPE0001,ITA_DEM01,[1000km],Pip,1.197332226
GRC_PIPE0001,POL_DEM01,[1000km],Pip,1.346819788
GRC_PIPE0001,SVK_DEM01,[1000km],Pip,1.013781392
GRC_PIPE0001,SVN_DEM01,[1000km],Pip,1.088608842
GRC_PIPE0001,HRV_DEM01,[1000km],Pip,0.924443735
GRC_PIPE0001,CZE_DEM01,[1000km],Pip,1.296992221
GRC_PIPE0001,DNK_DEM01,[1000km],Pip,2.044520964
GRC_PIPE0001,HUN_DEM01,[1000km],Pip,0.881868654
GBR_PIPE0002,EST_DEM01,[1000km],Pip,1.662437072
GBR_PIPE0002,FIN_DEM01,[1000km],Pip,1.901724175
GBR_PIPE0002,LVA_DEM01,[1000km],Pip,1.607729054
GBR_PIPE0002,LTU_DEM01,[1000km],Pip,1.544352379
GBR_PIPE0002,SVN_DEM01,[1000km],Pip,1.34409217
GBR_PIPE0002,NOR_DEM01,[1000km],Pip,1.437976835
GBR_PIPE0002,SWE_DEM01,[1000km],Pip,1.402324575
GBR_PIPE0002,BGR_DEM01,[1000km],Pip,2.206726849
GRC_PIPE0001,IRL_DEM01,[1000km],Pip,2.909155494
GRC_PIPE0001,GBR_DEM01,[1000km],Pip,2.612112725
GRC_PIPE0001,MLT_DEM01,[1000km],Pip,1.178056365
GRC_PIPE0001,CYP_DEM01,[1000km],Pip,0.894486358
GBR_PIPE0002,ROU_DEM01,[1000km],Pip,1.976563418
GBR_PIPE0002,ESP_DEM01,[1000km],Pip,1.500252546
GBR_PIPE0002,ESP_DEM01,[1000km],Pip,3.093852227
GRC_PIPE0001,PRT_DEM01,[1000km],Pip,2.949411923
GBR_PIPE0002,BEL_DEM01,[1000km],Pip,0.457063117
GBR_PIPE0002,DEU_DEM01,[1000km],Pip,0.75399886
GBR_PIPE0002,LUX_DEM01,[1000km],Pip,0.597023332
GBR_PIPE0002,NLD_DEM01,[1000km],Pip,0.400862357
GBR_PIPE0002,CYP_DEM01,[1000km],Pip,3.302706347
GBR_PIPE0002,GRC_DEM01,[1000km],Pip,2.371668268
GBR_PIPE0002,FRA_DEM01,[1000km],Pip,0.807493925
GBR_PIPE0002,CHE_DEM01,[1000km],Pip,0.955903867
GBR_PIPE0002,HUN_DEM01,[1000km],Pip,1.542849932
GBR_PIPE0002,ITA_DEM01,[1000km],Pip,1.494554409
GBR_PIPE0002,POL_DEM01,[1000km],Pip,1.304787701
GBR_PIPE0002,SVK_DEM01,[1000km],Pip,1.456263677
GBR_PIPE0002,AUT_DEM01,[1000km],Pip,1.196287918
GBR_PIPE0002,HRV_DEM01,[1000km],Pip,1.515863683
GBR_PIPE0002,CZE_DEM01,[1000km],Pip,1.135791039
GBR_PIPE0002,DNK_DEM01,[1000km],Pip,0.687270988
ITA_PIPE0001,LTU_DEM01,[1000km],Pip,2.141935562
ITA_PIPE0001,ROU_DEM01,[1000km],Pip,1.370411705
ITA_PIPE0001,ESP_DEM01,[1000km],Pip,1.423734229
ITA_PIPE0001,ESP_DEM01,[1000km],Pip,2.823412264
ITA_PIPE0001,BGR_DEM01,[1000km],Pip,1.214056961
ITA_PIPE0001,EST_DEM01,[1000km],Pip,2.517019401
ITA_PIPE0001,FIN_DEM01,[1000km],Pip,3.120578255
ITA_PIPE0001,LVA_DEM01,[1000km],Pip,2.321576989
ITA_PIPE0002,CYP_DEM01,[1000km],Pip,1.719306655
ITA_PIPE0002,GRC_DEM01,[1000km],Pip,0.794451889
ITA_PIPE0002,FRA_DEM01,[1000km],Pip,1.433635377
ITA_PIPE0002,CHE_DEM01,[1000km],Pip,1.192106928
ITA_PIPE0002,PRT_DEM01,[1000km],Pip,2.010847326
ITA_PIPE0002,IRL_DEM01,[1000km],Pip,2.494021567
ITA_PIPE0002,GBR_DEM01,[1000km],Pip,2.311749412
ITA_PIPE0002,MLT_DEM01,[1000km],Pip,0.129889471
ITA_PIPE0001,NLD_DEM01,[1000km],Pip,1.710511431
ITA_PIPE0001,AUT_DEM01,[1000km],Pip,1.111087086
ITA_PIPE0001,HRV_DEM01,[1000km],Pip,0.880948265
ITA_PIPE0001,CZE_DEM01,[1000km],Pip,1.360804285
ITA_PIPE0001,CHE_DEM01,[1000km],Pip,1.077548193
ITA_PIPE0001,BEL_DEM01,[1000km],Pip,1.574329156
ITA_PIPE0001,DEU_DEM01,[1000km],Pip,1.504798784
ITA_PIPE0001,LUX_DEM01,[1000km],Pip,1.443334446
ITA_PIPE0001,SVK_DEM01,[1000km],Pip,1.348351162
ITA_PIPE0001,SVN_DEM01,[1000km],Pip,0.958484466
ITA_PIPE0001,NOR_DEM01,[1000km],Pip,2.982209007
ITA_PIPE0001,SWE_DEM01,[1000km],Pip,2.809955584
ITA_PIPE0001,DNK_DEM01,[1000km],Pip,2.04418906
ITA_PIPE0001,HUN_DEM01,[1000km],Pip,1.195111171
