Year,Country,Country_demand,Node_border,Node_import,Node_export,Node_production,Source,Source_vres,Energy_type,Technology,Transport_national,Transport_international,Transport_eu,Transport_national_mode,Transport_international_mode,Transport_eu_mode,Transport_conversion
,,,,,TUR_PORT0008,,,,,,,,,,,,
,,,,,TUR_PORT0009,,,,,,,,,,,,
,,,,,TUR_PORT0010,,,,,,,,,,,,
,,,,,TUR_PORT0011,,,,,,,,,,,,
,,,,,TUR_PORT0012,,,,,,,,,,,,
,,,,,TUR_PORT0013,,,,,,,,,,,,
,,,,,TUR_PORT0014,,,,,,,,,,,,
,,,,,TUR_PORT0015,,,,,,,,,,,,
,,,,,TUR_PORT0016,,,,,,,,,,,,
,,,,,TUR_PORT0017,,,,,,,,,,,,
,,,,,TUR_PORT0018,,,,,,,,,,,,
,,,,,TUR_PORT0019,,,,,,,,,,,,
,,,,,TUR_PORT0020,,,,,,,,,,,,
,,,,,TUR_PORT0021,,,,,,,,,,,,
,,,,,TUR_PORT0022,,,,,,,,,,,,
,,,,,TUN_PORT0001,,,,,,,,,,,,
,,,,,TUN_PORT0002,,,,,,,,,,,,
,,,,,TUN_PORT0003,,,,,,,,,,,,
,,,,,TUN_PORT0004,,,,,,,,,,,,
,,,,,TTO_PORT0001,,,,,,,,,,,,
,,,,,TTO_PORT0002,,,,,,,,,,,,
,,,,,TON_PORT0001,,,,,,,,,,,,
,,,,,TGO_PORT0001,,,,,,,,,,,,
,,,,,TLS_PORT0001,,,,,,,,,,,,
,,,,,THA_PORT0001,,,,,,,,,,,,
,,,,,THA_PORT0002,,,,,,,,,,,,
,,,,,THA_PORT0003,,,,,,,,,,,,
,,,,,THA_PORT0004,,,,,,,,,,,,
,,,,,THA_PORT0005,,,,,,,,,,,,
,,,,,TZA_PORT0001,,,,,,,,,,,,
,,,,,TWN_PORT0001,,,,,,,,,,,,
,,,,,SYR_PORT0001,,,,,,,,,,,,
,,,,,SYR_PORT0002,,,,,,,,,,,,
,,,,,SUR_PORT0001,,,,,,,,,,,,
,,,,,SUR_PORT0002,,,,,,,,,,,,
,,,,,SDN_PORT0001,,,,,,,,,,,,
,,,,,LKA_PORT0001,,,,,,,,,,,,
,,,,,ZAF_PORT0001,,,,,,,,,,,,
,,,,,ZAF_PORT0002,,,,,,,,,,,,
,,,,,ZAF_PORT0003,,,,,,,,,,,,
,,,,,ZAF_PORT0004,,,,,,,,,,,,
,,,,,ZAF_PORT0005,,,,,,,,,,,,
,,,,,ZAF_PORT0006,,,,,,,,,,,,
,,,,,SOM_PORT0001,,,,,,,,,,,,
,,,,,SOM_PORT0002,,,,,,,,,,,,
,,,,,SOM_PORT0003,,,,,,,,,,,,
,,,,,SGP_PORT0001,,,,,,,,,,,,
,,,,,SLE_PORT0001,,,,,,,,,,,,
,,,,,SYC_PORT0001,,,,,,,,,,,,
,,,,,SEN_PORT0001,,,,,,,,,,,,
,,,,,SAU_PORT0001,,,,,,,,,,,,
,,,,,SAU_PORT0002,,,,,,,,,,,,
,,,,,SAU_PORT0003,,,,,,,,,,,,
,,,,,SAU_PORT0004,,,,,,,,,,,,
,,,,,SAU_PORT0005,,,,,,,,,,,,
,,,,,WSM_PORT0001,,,,,,,,,,,,
,,,,,VCT_PORT0001,,,,,,,,,,,,
,,,,,LCA_PORT0001,,,,,,,,,,,,
,,,,,KNA_PORT0001,,,,,,,,,,,,
,,,,,RUS_PORT0001,,,,,,,,,,,,
,,,,,RUS_PORT0002,,,,,,,,,,,,
,,,,,RUS_PORT0003,,,,,,,,,,,,
,,,,,RUS_PORT0004,,,,,,,,,,,,
,,,,,RUS_PORT0005,,,,,,,,,,,,
,,,,,RUS_PORT0006,,,,,,,,,,,,
,,,,,RUS_PORT0007,,,,,,,,,,,,
,,,,,RUS_PORT0008,,,,,,,,,,,,
,,,,,RUS_PORT0009,,,,,,,,,,,,
,,,,,RUS_PORT0010,,,,,,,,,,,,
,,,,,RUS_PORT0011,,,,,,,,,,,,
,,,,,RUS_PORT0012,,,,,,,,,,,,
,,,,,RUS_PORT0013,,,,,,,,,,,,
,,,,,QAT_PORT0001,,,,,,,,,,,,
,,,,,QAT_PORT0002,,,,,,,,,,,,
,,,,,PRI_PORT0001,,,,,,,,,,,,
,,,,,PHL_PORT0001,,,,,,,,,,,,
,,,,,PHL_PORT0002,,,,,,,,,,,,
,,,,,PHL_PORT0003,,,,,,,,,,,,
,,,,,PHL_PORT0004,,,,,,,,,,,,
,,,,,PHL_PORT0005,,,,,,,,,,,,
,,,,,PHL_PORT0006,,,,,,,,,,,,
,,,,,PHL_PORT0007,,,,,,,,,,,,
,,,,,PHL_PORT0008,,,,,,,,,,,,
,,,,,PHL_PORT0009,,,,,,,,,,,,
,,,,,PHL_PORT0010,,,,,,,,,,,,
,,,,,PHL_PORT0011,,,,,,,,,,,,
,,,,,PHL_PORT0012,,,,,,,,,,,,
,,,,,PHL_PORT0013,,,,,,,,,,,,
,,,,,PHL_PORT0014,,,,,,,,,,,,
,,,,,PHL_PORT0015,,,,,,,,,,,,
,,,,,PER_PORT0001,,,,,,,,,,,,
,,,,,PER_PORT0002,,,,,,,,,,,,
,,,,,PER_PORT0003,,,,,,,,,,,,
,,,,,PER_PORT0004,,,,,,,,,,,,
,,,,,PER_PORT0005,,,,,,,,,,,,
,,,,,PER_PORT0006,,,,,,,,,,,,
,,,,,PRY_PORT0001,,,,,,,,,,,,
,,,,,PNG_PORT0001,,,,,,,,,,,,
,,,,,PNG_PORT0002,,,,,,,,,,,,
,,,,,PNG_PORT0003,,,,,,,,,,,,
,,,,,PNG_PORT0004,,,,,,,,,,,,
,,,,,PNG_PORT0005,,,,,,,,,,,,
,,,,,PNG_PORT0006,,,,,,,,,,,,
,,,,,PNG_PORT0007,,,,,,,,,,,,
,,,,,PNG_PORT0008,,,,,,,,,,,,
,,,,,PNG_PORT0009,,,,,,,,,,,,
,,,,,PAN_PORT0001,,,,,,,,,,,,
,,,,,PAN_PORT0002,,,,,,,,,,,,
,,,,,PAN_PORT0003,,,,,,,,,,,,
,,,,,PAN_PORT0004,,,,,,,,,,,,
,,,,,PAN_PORT0005,,,,,,,,,,,,
