Sensitivity,Country,Cell,System,Electrolyser,Year,PV,Onshore,Lcoh,H2_volume
PV_Capex_M10,FRA,FRA_FR10,Onshore,Alkaline,2030,0.0,2.2389230652294403,8.951662637169404,66498.44680561077
PV_Capex_C10,FRA,FRA_FR10,Onshore,Alkaline,2020,0.0,2.4003126399949197,10.294328016833523,65568.91936797457
PV_Capex_C10,FRA,FRA_FR10,Onshore,Alkaline,2025,0.0,2.3279734890547843,9.616918145279808,66294.65221626684
PV_Capex_C10,FRA,FRA_FR10,Onshore,Alkaline,2030,0.0,2.2389230652294403,8.951662637169404,66498.44680561077
Onshore_Capex_M10,FRA,FRA_FR10,Onshore,Alkaline,2020,0.0,2.477515625905653,9.823403740961677,67149.24945489081
Onshore_Capex_M10,FRA,FRA_FR10,Onshore,Alkaline,2025,0.0,2.375774292341558,9.1868673176801,67330.66349939305
Onshore_Capex_M10,FRA,FRA_FR10,Onshore,Alkaline,2030,0.0,2.2815920600997783,8.554402419590827,67477.45828746611
Onshore_Capex_P10,FRA,FRA_FR10,Onshore,Alkaline,2020,0.0,2.3810126076533322,10.505118270735409,65169.91888821771
Onshore_Capex_P10,FRA,FRA_FR10,Onshore,Alkaline,2025,0.0,2.302034751533513,9.809727829032864,65726.80920670614
Onshore_Capex_P10,FRA,FRA_FR10,Onshore,Alkaline,2030,0.0,2.221692381763205,9.129900231365117,66099.37358721548
Electrolyser_Capex_M10,FRA,FRA_FR10,Onshore,Alkaline,2020,0.0,2.3401530158967425,10.086695584451043,64316.44240537067
Electrolyser_Capex_M10,FRA,FRA_FR10,Onshore,Alkaline,2025,0.0,2.256369677031293,9.431214152309837,64718.73163429171
Electrolyser_Capex_M10,FRA,FRA_FR10,Onshore,Alkaline,2030,0.0,2.1670839649767526,8.786798340613732,64824.1690850576
Electrolyser_Capex_P10,FRA,FRA_FR10,Onshore,Alkaline,2020,0.0,2.4478986496761834,10.369239996592416,66546.01011117046
Electrolyser_Capex_P10,FRA,FRA_FR10,Onshore,Alkaline,2025,0.0,2.356352943391225,9.68359601922016,66911.34824044087
Electrolyser_Capex_P10,FRA,FRA_FR10,Onshore,Alkaline,2030,0.0,2.264956461929945,9.010361049107294,67097.23744748907
Wacc_M10,FRA,FRA_FR10,Onshore,Alkaline,2020,0.0,2.4042566324477743,9.645181244969143,65650.17823533229
Wacc_M10,FRA,FRA_FR10,Onshore,Alkaline,2025,0.0,2.333102632252012,8.991597752820098,66406.54808694455
Wacc_M10,FRA,FRA_FR10,Onshore,Alkaline,2030,0.0,2.2456200393389865,8.352426041480166,66652.9361485432
Wacc_P10,FRA,FRA_FR10,Onshore,Alkaline,2020,0.0,2.3965687107162834,10.567750101679264,65491.719793515425
Wacc_P10,FRA,FRA_FR10,Onshore,Alkaline,2025,0.0,2.323695905506611,9.881702009304062,66201.25739259263
Wacc_P10,FRA,FRA_FR10,Onshore,Alkaline,2030,0.0,2.236868096803022,9.206426605419086,66450.96088716101
Default,FRA,FRA_FR10,Hybrid,PEM,2020,1.8702143293555067,2.269777731278916,12.529867382939663,90649.83564995916
Default,FRA,FRA_FR10,Hybrid,PEM,2025,1.9416997387484374,2.0194689940241783,11.510169302567231,88308.4591021608
Default,FRA,FRA_FR10,Hybrid,PEM,2030,1.9682769023607318,1.8611446105438119,10.606338099886566,86928.95234040047
Res_Capex_M10,FRA,FRA_FR10,Hybrid,PEM,2020,1.8959718438514785,2.3520240820304164,12.045171190448789,92253.63255182604
Res_Capex_M10,FRA,FRA_FR10,Hybrid,PEM,2025,1.9585502097696232,2.0816804000227225,11.072112332822234,89575.84823707743
Res_Capex_M10,FRA,FRA_FR10,Hybrid,PEM,2030,1.993652534985056,1.8986961821398423,10.199682160075687,87879.07415716471
Res_Capex_C10,FRA,FRA_FR10,Hybrid,PEM,2020,1.8646995203188648,2.2291541993956923,12.7462463134478,89908.32112663447
Res_Capex_C10,FRA,FRA_FR10,Hybrid,PEM,2025,1.9318810988336756,1.989423538206313,11.706236528376824,87670.05654014295
Res_Capex_C10,FRA,FRA_FR10,Hybrid,PEM,2030,1.9540833319220758,1.850064259249851,10.78862774036829,86582.41642452616
PV_Capex_M10,FRA,FRA_FR10,Hybrid,PEM,2020,1.9496977056330091,2.1733793915754074,12.353624855332997,89684.63081321912
PV_Capex_M10,FRA,FRA_FR10,Hybrid,PEM,2025,2.011058569429087,1.9619334071926176,11.339881669380981,87845.93009197286
PV_Capex_M10,FRA,FRA_FR10,Hybrid,PEM,2030,2.044017243496897,1.8063370616136687,10.440980123450602,86510.87744678708
PV_Capex_C10,FRA,FRA_FR10,Hybrid,PEM,2020,1.8352916771326095,2.315601507365702,12.589021961472032,91112.27182413763
PV_Capex_C10,FRA,FRA_FR10,Hybrid,PEM,2025,1.910504596945014,2.035565631141684,11.568945027271731,88322.64384427528
PV_Capex_C10,FRA,FRA_FR10,Hybrid,PEM,2030,1.941996754708755,1.883943060026921,10.664276233171542,87132.2985231184
Onshore_Capex_M10,FRA,FRA_FR10,Hybrid,PEM,2020,1.816691596470177,2.4201704004353783,12.186103465403665,92678.71747921164
Onshore_Capex_M10,FRA,FRA_FR10,Hybrid,PEM,2025,1.8866440489160603,2.1627273430769227,11.210235883378504,90381.95176357466
