route name,olon,olat,dlon,dlat
DEU-DEHAM_AGO-AOSZA,9.99302,53.55073,12.36894,-6.1349
DEU-DEHAM_ALB-ALDRZ,9.99302,53.55073,19.45469,41.32355
DEU-DEHAM_ALB-ALDRZ,9.99302,53.55073,19.45469,41.32355
DEU-DEHAM_AGO-AOCAB,9.99302,53.55073,12.2,-5.55
DEU-DEHAM_AGO-AOLOB,9.99302,53.55073,13.53601,-12.3644
DEU-DEHAM_USA-USBAL,9.99302,53.55073,-76.61666667,39.28333333
DEU-DEHAM_USA-USACL,9.99302,53.55073,-72.58333333,43.26666667
DEU-DEHAM_USA-USEPI,9.99302,53.55073,-67.00046037,44.9189639
DEU-DEHAM_USA-USFEB,9.99302,53.55073,-81.45,30.66666667
DEU-DEHAM_TZA-TZDAR,9.99302,53.55073,39.28333333,-6.8
DEU-DEHAM_UKR-UAILK,9.99302,53.55073,30.66666667,46.31666667
DEU-DEHAM_UKR-UAODS,9.99302,53.55073,30.75,46.5
DEU-DEHAM_UKR-UAYUZ,9.99302,53.55073,31.01666667,46.6
DEU-DEHAM_TUR-TRYPO,9.99302,53.55073,29.53333333,40.76666667
DEU-DEHAM_TTO-TTPOS,9.99302,53.55073,-61.51666667,10.65
DEU-DEHAM_TTO-TTPOS,9.99302,53.55073,-61.51666667,10.65
DEU-DEHAM_TWN-TWTPE,9.99302,53.55073,121.5166667,25.03333333
DEU-DEHAM_TUR-TRMER,9.99302,53.55073,34.63333333,36.71666667
DEU-DEHAM_TUR-TRSSX,9.99302,53.55073,36.33333333,41.28333333
DEU-DEHAM_TUR-TRTEK,9.99302,53.55073,27.51666667,40.96666667
DEU-DEHAM_TUR-TRTZX,9.99302,53.55073,39.73333333,41
DEU-DEHAM_USA-USSCK,9.99302,53.55073,-121.2833333,37.95
DEU-DEHAM_USA-USILM,9.99302,53.55073,-77.93333333,34.21666667
DEU-DEHAM_URY-UYPTP,9.99302,53.55073,-58.06666667,-34.23333333
DEU-DEHAM_USA-USPEF,9.99302,53.55073,-80.13333333,26.1
DEU-DEHAM_USA-USNTD,9.99302,53.55073,-119.1833333,34.13333333
DEU-DEHAM_USA-USPME,9.99302,53.55073,-82.55,27.63333333
DEU-DEHAM_USA-USSAN,9.99302,53.55073,-117.15,32.7
DEU-DEHAM_USA-USNYC,9.99302,53.55073,-74,40.7
DEU-DEHAM_USA-USNFF,9.99302,53.55073,-73.2,42
DEU-DEHAM_USA-USKND,9.99302,53.55073,-122.2202546,37.9329048
DEU-DEHAM_USA-USPDP,9.99302,53.55073,-75.71666667,44.15
DEU-DEHAM_USA-USGFP,9.99302,53.55073,-89.08490622,30.37815646
DEU-DEHAM_USA-USHNL,9.99302,53.55073,-157.85,21.3
DEU-DEHAM_USA-USHKA,9.99302,53.55073,-149.8166667,61.63333333
DEU-DEHAM_USA-USLGB,9.99302,53.55073,-118.1833333,33.76666667
DEU-DEHAM_DJI-DJJIB,9.99302,53.55073,43.14503,11.58901
DEU-DEHAM_CPV-CVSAR,9.99302,53.55073,-22.91722,16.17611
DEU-DEHAM_CUB-CUMOA,9.99302,53.55073,-74.95075,20.65776
DEU-DEHAM_CUB-CUSCU,9.99302,53.55073,-75.82667,20.02083
DEU-DEHAM_CPV-CVPAL,9.99302,53.55073,-22.98348,16.75754
DEU-DEHAM_CPV-CVRAI,9.99302,53.55073,-23.51254,14.93152
DEU-DEHAM_COL-COBAQ,9.99302,53.55073,-74.78132,10.96854
DEU-DEHAM_COL-COBUN,9.99302,53.55073,-77.03116,3.8801
DEU-DEHAM_COL-COCTG,9.99302,53.55073,-75.51444,10.39972
DEU-DEHAM_COL-COSMR,9.99302,53.55073,-74.19904,11.24079
DEU-DEHAM_DZA-DZMOS,9.99302,53.55073,0.08918,35.93115
DEU-DEHAM_DZA-DZORN,9.99302,53.55073,-0.63588,35.69906
DEU-DEHAM_EGY-EGEDK,9.99302,53.55073,29.82126,31.13133
DEU-DEHAM_EGY-EGPSD,9.99302,53.55073,32.3019,31.26531
DEU-DEHAM_DMA-DMRSU,9.99302,53.55073,-61.38808,15.30174
DEU-DEHAM_DOM-DOBCC,9.99302,53.55073,-69.6,18.45
DEU-DEHAM_DOM-DOPOP,9.99302,53.55073,-70.6884,19.79344
DEU-DEHAM_BRA-BRIOS,9.99302,53.55073,-39.03949,-14.79364
DEU-DEHAM_BRA-BRIBB,9.99302,53.55073,-48.67028,-28.24
DEU-DEHAM_BRA-BRITJ,9.99302,53.55073,-48.66194,-26.90778
DEU-DEHAM_BRA-BRMAO,9.99302,53.55073,-60.025,-3.10194
DEU-DEHAM_BEN-BJCOO,9.99302,53.55073,2.41833,6.36536
DEU-DEHAM_BMU-BMBDA,9.99302,53.55073,-64.78303,32.2949
DEU-DEHAM_BRA-BRFOR,9.99302,53.55073,-38.54306,-3.71722
DEU-DEHAM_ABW-AWORJ,9.99302,53.55073,-70.02703,12.52398
DEU-DEHAM_BRB-BBBGI,9.99302,53.55073,-59.62021,13.10732
DEU-DEHAM_BGD-BDMGL,9.99302,53.55073,89.61095,22.47223
DEU-DEHAM_AUS-AUPBT,9.99302,53.55073,151.22277,-33.97447
DEU-DEHAM_AUS-AUPKL,9.99302,53.55073,150.9012,-34.4818
DEU-DEHAM_AUS-AUTSV,9.99302,53.55073,146.80569,-19.26639
DEU-DEHAM_AUS-AUWEI,9.99302,53.55073,141.87883,-12.62346
DEU-DEHAM_COK-CKAIT,9.99302,53.55073,-159.79293,-18.85195
DEU-DEHAM_COK-CKRAR,9.99302,53.55073,-159.77545,-21.2075
DEU-DEHAM_CMR-CMDLA,9.99302,53.55073,9.70428,4.04827
DEU-DEHAM_CMR-CMKBI,9.99302,53.55073,9.90765,2.93725
DEU-DEHAM_CAN-CAPRR,9.99302,53.55073,-130.32098,54.31507
DEU-DEHAM_CAN-CASQA,9.99302,53.55073,-122.95396,50.11817
DEU-DEHAM_CAN-CATOR,9.99302,53.55073,-79.4163,43.70011
DEU-DEHAM_CAN-CAVAN,9.99302,53.55073,-123.11934,49.24966
DEU-DEHAM_BLZ-BZBZE,9.99302,53.55073,-88.19756,17.49952
DEU-DEHAM_CAN-CAHAL,9.99302,53.55073,-63.57291,44.6464
