Sensitivity,Country,Id_cell,System,Electrolyser,Year,Optimization,PV,Onshore,Lcoh,H2_volume,Unit
Default,OMN,OMN_C02873,PV,Alkaline,2050,Lcoh,1.8224561775657044,0.0,1.864494550857389,65303.60411544918,1547797513.1664422
Default,OMN,OMN_C02874,PV,Alkaline,2050,Lcoh,1.7872602308722843,0.0,1.8404126712467992,65413.34096766604,2445601475.597537
Default,OMN,OMN_C02875,PV,Alkaline,2050,Lcoh,1.7278670708271369,0.0,1.8233315117857933,64744.606416946925,262605547.00219336
Default,OMN,OMN_C02876,PV,Alkaline,2050,Lcoh,1.7872602308722843,0.0,1.8731209164842084,64253.95673404401,78888510.22538473
Default,OMN,OMN_C02877,PV,Alkaline,2050,Lcoh,1.7872602308722843,0.0,1.858025383185968,64783.88767900969,2198712655.705297
Default,OMN,OMN_C02878,PV,Alkaline,2050,Lcoh,1.773165955588133,0.0,1.8564893520888324,64537.498272770055,515889224.16104436
Default,PAK,PAK_C02879,PV,Alkaline,2050,Lcoh,1.6957874319138633,0.0,1.9033039701040533,64421.23553047435,23921499.231698625
Default,PAK,PAK_C02880,PV,Alkaline,2050,Lcoh,1.6957874319138633,0.0,1.9123585190073376,64111.734239712234,604992353.0266156
Default,PAK,PAK_C02881,PV,Alkaline,2050,Lcoh,1.7546672192776849,0.0,1.9394061596079144,64461.750165730926,525261151.92272574
Default,PAK,PAK_C02882,PV,Alkaline,2050,Lcoh,1.6809391419025763,0.0,1.8961291322970524,64344.258472774025,17559357.17542635
Default,PAK,PAK_C02883,PV,Alkaline,2050,Lcoh,1.7080833888708036,0.0,1.9154648364578664,64272.08897522289,2810002280.185966
Default,PAK,PAK_C02884,PV,Alkaline,2050,Lcoh,1.773165955588133,0.0,1.96535589505074,63988.12054238207,1254242477.4528332
Default,PAK,PAK_C02885,PV,Alkaline,2050,Lcoh,1.6809391419025763,0.0,1.9074850204725664,63955.55180625156,1593789430.7857294
Default,PAK,PAK_C02886,PV,Alkaline,2050,Lcoh,1.7538515783468889,0.0,1.9607302997207596,63733.42233815076,2863453957.4614234
Default,PAK,PAK_C02887,PV,Alkaline,2050,Lcoh,1.8488531375857695,0.0,2.0281410929208854,63524.070100763485,1997893382.0973399
Default,PAK,PAK_C02888,PV,Alkaline,2050,Lcoh,1.6332168600144492,0.0,1.939359819289548,61870.26136268612,152040661.2478956
Default,PAK,PAK_C02889,PV,Alkaline,2050,Lcoh,1.7427153608384238,0.0,1.9884162924034423,62601.66848313474,1203004032.7584455
